,DY_Mes,LTV,Percentual_Vacancia,Percentual_Inadimplencia,beta_CDI,beta_IPCA,beta_IMAB,P_VPA
MMPD11.SA,0.011442,0.0017634994901001,0.0,0.0,0.0108857144720169,0.0002697369102828,-0.0008492776899714,0.95834528787937
APTO11.SA,0.009425,0.0143130156460084,0.0,0.0,0.0496616686058753,0.0110855415716968,0.0079759077554754,0.967605761201855
VCRI11.SA,0.010069,0.0116670876850107,0.0,0.0,0.0651004871119962,0.020536060204039,0.0105416949414497,0.7419259514556182
RBRX11.SA,0.009251,0.0007015819855041,0.0,0.0,0.0651736196425013,0.0320420740257105,0.0080943545447118,0.816149045316182
LLAO11.SA,0.0,0.0033494964638342,0.0,0.0,0.015620762055074,0.0456910533998794,0.0014730127747597,1.109561927185827
MMVE11.SA,0.0,0.0012181835585386,0.0,0.0,0.0181786125942108,0.0133298540540325,0.0008303130872848,0.9282355894088964
WHGR11.SA,0.010276,0.0121215243339706,0.0,0.0,0.03026019162929,0.0174144336171875,0.0052895037493899,0.9109577247892054
GAME11.SA,0.00989002,0.0022486580155027,0.0,0.0,-0.1009199765218279,-0.0003275822100276,0.0055594979802751,0.8903411640598606
CXCI11.SA,0.01054,0.0111071593441234,0.0,0.0,0.0538013671259149,-0.0261926186837134,0.0120244476373813,0.7621890700708227
JSAF11.SA,0.008946,0.00925367867112,0.0,0.0,-0.0753766591359744,-0.0184264100012209,0.0105140653919882,0.8143951771891291
KIVO11.SA,0.010123,0.0123419211275008,0.0,0.0,0.051206711215234,0.0059380967088297,0.0120588305590118,0.7388292923960289
KCRE11.SA,0.009464,0.076936351117302,0.0,0.0,-0.0197188677456612,0.0402873890585073,0.0115729410890913,0.8926463030814421
KNHF11.SA,0.009982,0.1546115605573171,0.0063560755222213,0.0183333333333333,0.0595223605362529,0.0758383157997,0.0070334720870938,0.9270937641629718
BIPD11.SA,0.011013,0.0210116926559822,0.0,0.0,0.0072176979109027,-0.004029473134062,-0.0002259647093918,1.0145673142116554
MANA11.SA,0.01169633,0.0148951745490741,0.0,0.0,0.0477284942024136,0.0386073302567692,0.0054999445964545,0.9368653928216264
SPXS11.SA,0.0,0.0033893131168702,0.0,0.0,0.0254083689800155,0.0170313508843083,0.0073573137306129,0.9294815385578162
